TWEET_ID,EVENT_TYPE,EVENT,TWEET,EVENT_INI,EVENT_END,QUESTION,bld,bgd,d,ald,agd,count,split
t1109_25_26,VBP,['dont'],"""@GiaAllemand soon , as long as @chrislambton13 peels himself away from the duckies , and get on his way . but we want more pics dont we ?""",25,26,is the author of this tweet involved in the event dont  ?,INV,INV,INV,INV,INV,0,test
t1130_12_13,VBG,['shining'],"""@godsgirl8494 I believe in the sun , even when it is not shining . I believe in love , even when I do not feel it . :)""",12,13,is the author of this tweet involved in the event shining  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1130_15_16,VBP,['believe'],"""@godsgirl8494 I believe in the sun , even when it is not shining . I believe in love , even when I do not feel it . :)""",15,16,is the author of this tweet involved in the event believe  ?,certYES,certYES,certYES,certYES,certYES,1,test
t1130_2_3,VBP,['believe'],"""@godsgirl8494 I believe in the sun , even when it is not shining . I believe in love , even when I do not feel it . :)""",2,3,is the author of this tweet involved in the event believe  ?,certYES,certYES,certYES,certYES,certYES,1,test
t1133_6_7,VBP,['dont'],"""going now guiseeeee ... if i dont see you through the week ill see you through the window :) :)""",6,7,is the author of this tweet involved in the event dont  ?,probNO,probYES,certNO,probYES,probYES,1,test
t1136_11_12,VBP,['wish'],"""going to have to go to bed before i cry . wish you would make an effort to be there for me like i am for you .""",11,12,is the author of this tweet involved in the event wish  ?,certYES,probYES,certYES,probYES,probYES,1,test
t1136_9_10,VBP,['cry'],"""going to have to go to bed before i cry . wish you would make an effort to be there for me like i am for you .""",9,10,is the author of this tweet involved in the event cry  ?,certNO,certNO,certNO,probYES,certNO,1,test
t1144_21_22,VBP,['encounter'],"""going to the mall with my momma , then church after this is a big'o challenge for the next 3 days encounter here I come lets see what happens""",21,22,is the author of this tweet involved in the event encounter  ?,certNO,certNO,certNO,probYES,probYES,1,test
t1148_19_20,VBP,['love'],"""Goin to my BEST friends birthday party 2day . As u can see her name is taylor and i love her like a sister ! ~ HAPPY B-DAY TAYLOR !!! LUVZ YA ~""",19,20,is the author of this tweet involved in the event love  ?,certYES,certYES,certYES,certYES,certYES,1,test
t1148_30_31,VBP,['LUVZ'],"""Goin to my BEST friends birthday party 2day . As u can see her name is taylor and i love her like a sister ! ~ HAPPY B-DAY TAYLOR !!! LUVZ YA ~""",30,31,is the author of this tweet involved in the event LUVZ  ?,certYES,certYES,certYES,certYES,certYES,1,test
t1172_9_10,VBP,['love'],"""Goodnight twitterland !! seee you tomorrow :) Michael I love you more than my life ... the biggest kiss for you my love !!! :D L . O . V . E""",9,10,is the author of this tweet involved in the event love  ?,certYES,certYES,certYES,certYES,certYES,1,test
t1178_10_11,VBG,['stealing'],"""Google maps street view . http://twitpic.com/31f0rn #intlib10 ( I am stealing this car ! )""",10,11,is the author of this tweet involved in the event stealing  ?,certNO,certNO,certNO,probNO,probNO,0,test
t1181_25_26,VBP,['remind'],"""Got another two box of chocolate from sister . . Rewind the 1st time I gave you a bar of chocolate . . Everything pratically remind me of you ?""",25,26,is the author of this tweet involved in the event remind  ?,certYES,probYES,probNO,probYES,probYES,1,test
t1185_4_5,VBN,['reranged'],"""Got my office all reranged from how I put it yesterday ! =)""",4,5,is the author of this tweet involved in the event reranged  ?,certNO,certNO,certNO,certNO,certNO,0,test
t120_20_21,VBP,['NEED'],"""@AishaHanii2 @starflower1204 Ahhh okay . I've never ordered a CD before so I have NO idea . just say I NEED IT TO GET THROUGH THE WEEKEND !! xD""",20,21,is the author of this tweet involved in the event NEED  ?,certNO,certNO,certNO,probYES,probYES,1,test
t1201_2_3,VBG,['touring'],"""Great evening touring Van Buren with Lt . Governor Candidate Brian Calley . We visited with residents at White Oaks ... http://fb.me/KkGbtk4W""",2,3,is the author of this tweet involved in the event touring  ?,certYES,certNO,certNO,certNO,certNO,1,test
t1213_18_19,VBG,['dancing'],"""@GreenEyezzzzz TJ thanks now I have that song in my head and visions of my 80s younger self dancing to that""",18,19,is the author of this tweet involved in the event dancing  ?,certYES,probNO,certYES,probYES,probNO,1,test
t1226_15_16,VBP,['SORT'],"""GUYS IF YOU WNNA BE IN AN AWESOME FAN BOOK . TWEET @JedwardsAngel AND WE'LL SORT IT OUT . WE'VE GOT 15COOOOL IDEAS WHEN WE SEE THEM ! : D""",15,16,is the author of this tweet involved in the event SORT  ?,certNO,certNO,certNO,probYES,probYES,1,test
t1226_25_26,VBP,['SEE'],"""GUYS IF YOU WNNA BE IN AN AWESOME FAN BOOK . TWEET @JedwardsAngel AND WE'LL SORT IT OUT . WE'VE GOT 15COOOOL IDEAS WHEN WE SEE THEM ! : D""",25,26,is the author of this tweet involved in the event SEE  ?,certNO,certNO,certNO,probYES,probYES,1,test
t1227_9_10,VBP,['hear'],"""Guys try do a geordie accent , ohhhh I hear a door open has Harry finisehed on the toilet now :) ( @tommcfly live on http://twitcam.com/2iy53 )""",9,10,is the author of this tweet involved in the event hear  ?,certYES,probYES,certNO,certNO,certNO,1,test
t1232_11_12,VBG,['talking'],"""had a great day courtesy of my morning that I had talking to Rashad ... :)""",11,12,is the author of this tweet involved in the event talking  ?,certYES,certNO,certNO,certNO,certNO,1,test
t1234_17_18,VBG,['cleaning'],"""Had a little bit of a panic attack at the end of my shift today- I was cleaning at the bar and then a bigass spider appeared out of nowhere .""",17,18,is the author of this tweet involved in the event cleaning  ?,certYES,certNO,certNO,certNO,certNO,1,test
t1236_5_6,VBG,['trying'],"""Had nightmare where I was trying to get to a final exam but somehow got trapped in a game show""",5,6,is the author of this tweet involved in the event trying  ?,certYES,certNO,certNO,certNO,certNO,1,test
t1241_3_4,VBP,['try'],"""Ha ha i try for you really hm lmao lame pretty day""",3,4,is the author of this tweet involved in the event try  ?,probYES,probYES,certNO,probYES,probYES,1,test
t1243_10_11,VBP,['love'],"""Haha the lady in the library just said "" i love your last name "" I always wonder why she always called me by it""",10,11,is the author of this tweet involved in the event love  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1256_8_9,VBG,['undying'],"""@hannahhhh_ hehee love for them . I have undying love for a lot of people today . Love turns my world around .""",8,9,is the author of this tweet involved in the event undying  ?,INV,INV,INV,INV,INV,0,test
t1277_4_5,VBP,['write'],"""#HarryPotter Marathon while I write my papers .""",4,5,is the author of this tweet involved in the event write  ?,certYES,probYES,certNO,certYES,probYES,1,test
t1279_5_6,VBP,['love'],"""HA ! RT @ew32766 I love it when my mom posts status updates on FB , they are usually personal messages she meant 2write on someone ' s wall . ;)""",5,6,is the author of this tweet involved in the event love  ?,certYES,certYES,certYES,certYES,certYES,1,test
t129_7_8,VBP,['hear'],"""@alexanderdeleon I tear up every time I hear that one . Reminds me of my niece who is my world <3""",7,8,is the author of this tweet involved in the event hear  ?,certYES,certYES,certNO,probYES,probYES,1,test
t1294_1_2,VBN,['tweeted'],"""Haven't tweeted since june wow ....................... but I did get a facebook so who cares about twitter""",1,2,is the author of this tweet involved in the event tweeted  ?,certNO,certYES,certYES,probNO,probNO,1,test
t1296_13_14,VBP,['need'],"""have to sleep now ! gym , facial , then SUPAHFEST tonight i need my kuya ' s driver ... MOSH PIT VIP common""",13,14,is the author of this tweet involved in the event need  ?,certNO,certNO,certNO,certYES,certNO,1,test
t130_16_17,VBG,['hitting'],"""@alexkrumm ohhh , atmosphere might have to slip into there , also . I might be hitting a show of theirs end of February . good call .""",16,17,is the author of this tweet involved in the event hitting  ?,certNO,certNO,certNO,certNO,probYES,1,test
t1302_10_11,VBG,['finding'],"""Having consistently aged daily for many years , I am finding that my curmudgeonly traits are becoming more prevalent .""",10,11,is the author of this tweet involved in the event finding  ?,certYES,certYES,certYES,certYES,certYES,1,test
t1302_16_17,VBG,['becoming'],"""Having consistently aged daily for many years , I am finding that my curmudgeonly traits are becoming more prevalent .""",16,17,is the author of this tweet involved in the event becoming  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1302_2_3,VBN,['aged'],"""Having consistently aged daily for many years , I am finding that my curmudgeonly traits are becoming more prevalent .""",2,3,is the author of this tweet involved in the event aged  ?,certYES,certYES,certYES,certYES,certYES,1,test
t1322_12_13,VBN,['found'],"""he likes prince , paul simon , and o.d.b. i may have found my soul mate .""",12,13,is the author of this tweet involved in the event found  ?,probYES,probYES,certNO,certNO,certNO,1,test
t1325_8_9,VBP,['love'],"""hello @brandon_lilhero , I miss you , I love you ! ? #4""",8,9,is the author of this tweet involved in the event love  ?,certYES,certYES,certYES,certYES,certYES,1,test
t1331_11_12,VBP,['GO'],"""He Neva Tells NO .... i HiT it & theN i GO""",11,12,is the author of this tweet involved in the event GO  ?,probYES,probYES,certNO,probYES,probYES,1,test
t1332_9_10,VBP,['sunshine'],"""@henryandfriends ooh that sounds lovely :) we had lots sunshine 2- hope it stays 4 tomo when we going to do the doggie show * paws x-d * ! x x""",9,10,is the author of this tweet involved in the event sunshine  ?,certYES,probNO,certNO,certNO,certNO,1,test
t1337_5_6,VBG,['decorating'],"""Hey guys .. great job decorating the balconies ! Keep up the good work . Remember you have a few days left until we ... http://fb.me/D7jpnZv5""",5,6,is the author of this tweet involved in the event decorating  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1347_6_7,VBG,['singing'],"""@highs_are_low cause I was too busy singing my heart out and all . It ' s hard to go crazy when you're trying to record something :p""",6,7,is the author of this tweet involved in the event singing  ?,certYES,probNO,certNO,certNO,certNO,1,test
t1355_27_28,VBP,['send'],"""Hi there ! Do you have time challenges ? Most of us do ... so let me know - I'd love to help ! DM me or send an @ reply & let's get started !""",27,28,is the author of this tweet involved in the event send  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1355_34_35,VBN,['started'],"""Hi there ! Do you have time challenges ? Most of us do ... so let me know - I'd love to help ! DM me or send an @ reply & let's get started !""",34,35,is the author of this tweet involved in the event started  ?,certNO,certNO,certYES,certYES,probNO,1,test
t1356_0_1,VBP,['Hit'],"""Hit word count ! Woo-hoo ! * throwing confetti * Now I can goof off tonight and read . * happy writer dance * #amwriting #havewritten -yay !""",0,1,is the author of this tweet involved in the event Hit  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1357_10_11,VBP,['update'],"""hmm , I always get a bit scared when I update my Blackberry ....""",10,11,is the author of this tweet involved in the event update  ?,probYES,certYES,certNO,probYES,probYES,1,test
t1357_7_8,VBN,['scared'],"""hmm , I always get a bit scared when I update my Blackberry ....""",7,8,is the author of this tweet involved in the event scared  ?,certYES,certYES,certYES,probYES,probYES,1,test
t1368_2_3,VBG,['chilling'],"""@ home chilling guess I ' m staying in 2day 2 rest this week was crazy but I ' m ready for dis weekend""",2,3,is the author of this tweet involved in the event chilling  ?,certYES,certNO,certYES,certYES,certNO,1,test
t1368_7_8,VBG,['staying'],"""@ home chilling guess I ' m staying in 2day 2 rest this week was crazy but I ' m ready for dis weekend""",7,8,is the author of this tweet involved in the event staying  ?,certYES,certNO,certYES,certYES,certNO,1,test
t138_10_11,VBP,['mineeeee'],"""all i , wanna hear u say is r u mineeeee""",10,11,is the author of this tweet involved in the event mineeeee  ?,INV,INV,INV,INV,INV,0,test
t138_4_5,VBP,['hear'],"""all i , wanna hear u say is r u mineeeee""",4,5,is the author of this tweet involved in the event hear  ?,certNO,certNO,certNO,probYES,probYES,1,test
t1388_2_3,VBP,['describe'],"""How I describe the perfect couple : Actor , Tall , Singer , Awkward , Streisand Worshiper , Canadian , New Yorker , Drummer , Person""",2,3,is the author of this tweet involved in the event describe  ?,certNO,certNO,certYES,certNO,certNO,1,test
t1404_14_15,VBG,['complaining'],"""http://bit.ly/9sFpBN Last #Reach video today , I promise . This one is for everyone complaining about the sword lunge being gone . Sprint !""",14,15,is the author of this tweet involved in the event complaining  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1404_20_21,VBN,['gone'],"""http://bit.ly/9sFpBN Last #Reach video today , I promise . This one is for everyone complaining about the sword lunge being gone . Sprint !""",20,21,is the author of this tweet involved in the event gone  ?,INV,INV,INV,INV,INV,0,test
t1404_7_8,VBP,['promise'],"""http://bit.ly/9sFpBN Last #Reach video today , I promise . This one is for everyone complaining about the sword lunge being gone . Sprint !""",7,8,is the author of this tweet involved in the event promise  ?,certYES,certNO,certYES,probYES,certNO,1,test
t141_7_8,VBP,['rape'],"""All night long RT @FauxSuhlenaa : I rape Nick Jonas .""",7,8,is the author of this tweet involved in the event rape  ?,certYES,certNO,certNO,certNO,certNO,1,test
t1419_10_11,VBP,['hope'],"""@HuggableJuly * happy tears * you're one incredible son I hope you know""",10,11,is the author of this tweet involved in the event hope  ?,certYES,certNO,certYES,probYES,certNO,1,test
t1423_6_7,VBG,['Leaving'],"""Hurry up ! Brandy will be Leaving in 2 days ! - #Eskorte and #Massasje i #Norge""",6,7,is the author of this tweet involved in the event Leaving  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1424_6_7,VBG,['Leaving'],"""Hurry up ! Santy will be Leaving in 2 days ! - #Eskorte and #Massasje i #Norge""",6,7,is the author of this tweet involved in the event Leaving  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1428_26_27,VBP,['fucks'],"""I ain't necessary listenin ' to the lyrics but the beat got head rockin ' . "" It ' s Gucci Time ! "" #nodisrespect I fucks with every now & then ...""",26,27,is the author of this tweet involved in the event fucks  ?,INV,INV,INV,INV,INV,0,test
t1429_2_3,VBN,['worried'],"""i aint worried about you -- i know you're strongg""",2,3,is the author of this tweet involved in the event worried  ?,certNO,certNO,certNO,certNO,certNO,1,test
t1431_23_24,VBP,['visit'],"""@Iambunnylavish Yeah Im goodie just in the lab working ... Wow ! I need to be where you at ! lol let me visit""",23,24,is the author of this tweet involved in the event visit  ?,certNO,certNO,certNO,probYES,probYES,1,test
t1437_11_12,VBG,['guessing'],"""@Iamjustinbieb i know that today is follow friday . so im guessing thats what i means . but im not suree lmaoo""",11,12,is the author of this tweet involved in the event guessing  ?,certYES,certNO,certYES,certYES,certNO,1,test
t1437_6_7,VBN,['follow'],"""@Iamjustinbieb i know that today is follow friday . so im guessing thats what i means . but im not suree lmaoo""",6,7,is the author of this tweet involved in the event follow  ?,INV,INV,INV,INV,INV,0,test
t1440_11_12,VBN,['respected'],"""I am living my dream , winning at life and being respected for every thing I do . And its about fucking time . #dontsettle #EVER""",11,12,is the author of this tweet involved in the event respected  ?,certYES,certYES,certYES,probYES,probYES,1,test
t1440_2_3,VBG,['living'],"""I am living my dream , winning at life and being respected for every thing I do . And its about fucking time . #dontsettle #EVER""",2,3,is the author of this tweet involved in the event living  ?,certYES,certYES,certYES,certYES,certYES,1,test
t1440_6_7,VBG,['winning'],"""I am living my dream , winning at life and being respected for every thing I do . And its about fucking time . #dontsettle #EVER""",6,7,is the author of this tweet involved in the event winning  ?,certYES,certYES,certYES,certYES,certYES,1,test
t1444_2_3,VBG,['waiting'],"""I am waiting for UOEM to finally wrapped before giving it a go again , I can't deal with it ' s continous heartfail ..""",2,3,is the author of this tweet involved in the event waiting  ?,certYES,certYES,certYES,certYES,certYES,1,test
t1444_9_10,VBG,['giving'],"""I am waiting for UOEM to finally wrapped before giving it a go again , I can't deal with it ' s continous heartfail ..""",9,10,is the author of this tweet involved in the event giving  ?,certNO,certNO,certNO,probYES,probYES,1,test
t1446_18_19,VBP,['change'],"""@iansomerhalder before seeing you , I did not believe in the ancient gods ! Well , now I change my idea ! you are the God of perfection !!!!""",18,19,is the author of this tweet involved in the event change  ?,certYES,probNO,certYES,certNO,certNO,1,test
t1448_1_2,VBP,['bet'],"""I bet ! Haha #teamceltics yesterday ! Clowns ! RT @BigJon_99 : #teamheat at Philly 2nite , let's go !""",1,2,is the author of this tweet involved in the event bet  ?,certNO,certNO,certYES,probYES,certNO,1,test
t1448_12_13,VBN,['#teamheat'],"""I bet ! Haha #teamceltics yesterday ! Clowns ! RT @BigJon_99 : #teamheat at Philly 2nite , let's go !""",12,13,is the author of this tweet involved in the event #teamheat  ?,INV,INV,INV,INV,INV,0,test
t1449_1_2,VBP,['bet'],"""I bet Kobe Bryant and Phil Jackson are laughing their asses off @MiamiHEAT right about now !""",1,2,is the author of this tweet involved in the event bet  ?,certNO,certNO,certYES,certNO,certNO,1,test
t1449_8_9,VBG,['laughing'],"""I bet Kobe Bryant and Phil Jackson are laughing their asses off @MiamiHEAT right about now !""",8,9,is the author of this tweet involved in the event laughing  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1452_1_2,VBP,['call'],"""I call my dad and this dude is blasting music . I cant understand him and he keeps saying "" what ? "" . Doesn't that mean turn down the music ? =_=""",1,2,is the author of this tweet involved in the event call  ?,certYES,certNO,certNO,certNO,certNO,1,test
t1452_8_9,VBG,['blasting'],"""I call my dad and this dude is blasting music . I cant understand him and he keeps saying "" what ? "" . Doesn't that mean turn down the music ? =_=""",8,9,is the author of this tweet involved in the event blasting  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1461_5_6,VBP,['Hope'],"""@Ice_calibr29 ' ll tryy ~ Hope the Sharks will try tonight , I think they should after Clowe called them out on it http://tl.gd/7vjue7""",5,6,is the author of this tweet involved in the event Hope  ?,certYES,certNO,certYES,probYES,certNO,1,test
t1466_14_15,VBG,['filming'],"""i decided im gonna sleep at my mommys tonight and hang out there after filming tomorrow morning till i work . oh the sacrafices i make .""",14,15,is the author of this tweet involved in the event filming  ?,certNO,certNO,certNO,certYES,certNO,1,test
t1466_19_20,VBP,['work'],"""i decided im gonna sleep at my mommys tonight and hang out there after filming tomorrow morning till i work . oh the sacrafices i make .""",19,20,is the author of this tweet involved in the event work  ?,certNO,certNO,certNO,probYES,probYES,1,test
t1468_5_6,VBP,['rub'],"""I didn't know if you rub your eye for a long time you can get cock eyed""",5,6,is the author of this tweet involved in the event rub  ?,UNK,UNK,UNK,UNK,UNK,0,test
t1469_16_17,VBG,['asking'],"""i didnt know people were so out of touch . before debates im just gonna start asking questions about where they got their info first""",16,17,is the author of this tweet involved in the event asking  ?,certNO,certNO,certNO,certYES,probYES,1,test
t1470_20_21,VBP,['love'],"""I didn't really like Nicki's song Right Thru Me at 1st , but I like it now lol . I love the video :)""",20,21,is the author of this tweet involved in the event love  ?,certYES,certYES,certYES,certYES,certYES,1,test
t1471_13_14,VBG,['eating'],"""I distinctly remember someone giving me chocolates last week . I don't recall eating a single piece . They're nowhere to be found of course .""",13,14,is the author of this tweet involved in the event eating  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1471_2_3,VBP,['remember'],"""I distinctly remember someone giving me chocolates last week . I don't recall eating a single piece . They're nowhere to be found of course .""",2,3,is the author of this tweet involved in the event remember  ?,certYES,probYES,certYES,probYES,probNO,1,test
t1471_22_23,VBN,['found'],"""I distinctly remember someone giving me chocolates last week . I don't recall eating a single piece . They're nowhere to be found of course .""",22,23,is the author of this tweet involved in the event found  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1471_4_5,VBG,['giving'],"""I distinctly remember someone giving me chocolates last week . I don't recall eating a single piece . They're nowhere to be found of course .""",4,5,is the author of this tweet involved in the event giving  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1475_4_5,VBP,['beat'],"""I do hope we beat the wanderers tomorrow #coys""",4,5,is the author of this tweet involved in the event beat  ?,certNO,certNO,certNO,probYES,certNO,1,test
t1476_16_17,VBG,['speaking'],"""I don't even have ta talk shit anymore to u heat fans ... da score is speaking for itself .""",16,17,is the author of this tweet involved in the event speaking  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1481_6_7,VBP,['feel'],"""I don't know why but I feel crummy . Trying to lift spirits with moonlit walk .""",6,7,is the author of this tweet involved in the event feel  ?,certYES,certNO,certYES,probYES,probNO,1,test
t1485_10_11,VBP,['flirt'],"""I don't understand why some dudes get mad when you flirt with someone else ...""",10,11,is the author of this tweet involved in the event flirt  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1488_1_2,VBP,['dunno'],"""i dunno why people still type '' sad face '' ..... '' smiley face '' ... '' raised eyebrow '' ... when its alot more easier to make it""",1,2,is the author of this tweet involved in the event dunno  ?,certYES,certYES,certYES,certYES,certYES,1,test
t1491_8_9,VBG,['Testing'],"""I favorited a YouTube video -- Water by Testing Tomorrow http://youtu.be/htAM7lgcelw?a""",8,9,is the author of this tweet involved in the event Testing  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1492_11_12,VBG,['Dancing'],"""I favorited a YouTube video -- Yoav "" We All Are Dancing "" ( Copenhagen March 2010 ) http://youtu.be/xi8qJ3IKK8U?a""",11,12,is the author of this tweet involved in the event Dancing  ?,INV,INV,INV,INV,INV,0,test
t1497_10_11,VBG,['breaking'],"""I feel like a trillion bucks ! I feel like breaking a record tomorrow ... and i will""",10,11,is the author of this tweet involved in the event breaking  ?,certNO,certNO,certNO,certYES,certNO,1,test
t1499_1_2,VBP,['feel'],"""i feel like_________ .... yea that""",1,2,is the author of this tweet involved in the event feel  ?,certYES,probNO,certYES,probYES,UNK,1,test
t15_11_12,VBP,['call/text'],"""@1STLADYNHEELS Alright , I'll get there around that time . I'll call/text you when I arrive .""",11,12,is the author of this tweet involved in the event call/text  ?,certNO,certNO,certNO,probYES,probYES,1,test
t15_15_16,VBP,['arrive'],"""@1STLADYNHEELS Alright , I'll get there around that time . I'll call/text you when I arrive .""",15,16,is the author of this tweet involved in the event arrive  ?,certNO,certNO,certNO,probYES,probYES,1,test
t1502_21_22,VBG,['dropping'],"""... if I didnt have to worry about $ I'd move to VT and buy some hogs and spend my days dropping LSD and taking long walks in gucci shoes ...""",21,22,is the author of this tweet involved in the event dropping  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1503_2_3,VBP,['die'],"""If i die dont cry just get high and fly with me""",2,3,is the author of this tweet involved in the event die  ?,certNO,certNO,certNO,probYES,certYES,1,test
t1504_18_19,VBN,['asked'],"""If I had known what I know now about truck drivers , I don't think I would have asked them to honk as much when I was younger .""",18,19,is the author of this tweet involved in the event asked  ?,certNO,certYES,certNO,certNO,certNO,1,test
t1504_3_4,VBN,['known'],"""If I had known what I know now about truck drivers , I don't think I would have asked them to honk as much when I was younger .""",3,4,is the author of this tweet involved in the event known  ?,INV,INV,INV,INV,INV,0,test
t1505_4_5,VBP,['wish'],"""If I had one wish it would be to drive bugatti V for a day ! Pretty pls fix it for me jim ! Xxx""",4,5,is the author of this tweet involved in the event wish  ?,certYES,probYES,certYES,probYES,probYES,1,test
t1507_1_2,VBP,['fill'],"""i fill like im just blahhh =[[""",1,2,is the author of this tweet involved in the event fill  ?,INV,INV,INV,INV,INV,0,test
t1508_13_14,VBG,['ringing'],"""I finished it before the bell rang , just after the bell started ringing ..! I sware !""",13,14,is the author of this tweet involved in the event ringing  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1509_2_3,VBP,['write'],"""If I write on the wall of a business's page , why doesn't it tell me if someone comments on it ?""",2,3,is the author of this tweet involved in the event write  ?,probYES,certYES,certNO,probYES,probYES,1,test
